State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
OH,Healthcare Provider,749,Unauthorized Access/Disclosure,Email,No
SC,Healthcare Provider,12636,Unauthorized Access/Disclosure,Paper/Films,No
VA,Business Associate,1016,Hacking/IT Incident,Email,Yes
VA,Healthcare Provider,6258,Hacking/IT Incident,Email,No
NM,Healthcare Provider,193223,Hacking/IT Incident,Other,Yes
OH,Healthcare Provider,118874,Hacking/IT Incident,Network Server,Yes
TX,Healthcare Provider,2235,Hacking/IT Incident,Email,No
NY,Healthcare Provider,13619,Hacking/IT Incident,Email,No
NY,Healthcare Provider,7164,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,2527,Hacking/IT Incident,Network Server,No
CA,Healthcare Provider,563,Unauthorized Access/Disclosure,Email,No
SC,Healthcare Provider,2851,Hacking/IT Incident,Network Server,No
FL,Health Plan,6034,Hacking/IT Incident,Network Server,No
OH,Business Associate,1474000,Unauthorized Access/Disclosure,Email,Yes
FL,Healthcare Provider,2374,Hacking/IT Incident,Email,No
NY,Healthcare Provider,16038,Hacking/IT Incident,Email,No
MI,Healthcare Provider,26861,Hacking/IT Incident,Email,No
TX,Healthcare Provider,228009,Hacking/IT Incident,Email,No
TX,Healthcare Provider,3414,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,65839,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,2850,Hacking/IT Incident,Electronic Medical Record,No
KY,Healthcare Provider,13375,Hacking/IT Incident,Email,No
MD,Healthcare Provider,668,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,717,Unauthorized Access/Disclosure,Electronic Medical Record,No
LA,Healthcare Provider,12861,Hacking/IT Incident,Network Server,No
MA,Healthcare Provider,74251,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,4004,Unauthorized Access/Disclosure,Electronic Medical Record,No
NY,Healthcare Provider,1135,Theft,Paper/Films,No
MO,Healthcare Provider,189736,Hacking/IT Incident,Email,No
GA,Healthcare Provider,5600,Hacking/IT Incident,Network Server,No
VA,Healthcare Provider,683,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,2000,Hacking/IT Incident,"Desktop Computer, Network Server",No
CA,Healthcare Provider,2691,Hacking/IT Incident,Email,No
NJ,Healthcare Provider,31550,Hacking/IT Incident,Email,No
GA,Healthcare Provider,5226,Hacking/IT Incident,Email,No
NY,Healthcare Provider,314829,Hacking/IT Incident,Network Server,Yes
KY,Healthcare Provider,2343,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,81552,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,71160,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,5242,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,73536,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,47272,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,5890,Hacking/IT Incident,Network Server,Yes
IA,Healthcare Provider,699,Hacking/IT Incident,Network Server,Yes
DE,Healthcare Provider,1229,Hacking/IT Incident,Network Server,Yes
CT,Healthcare Provider,2633,Hacking/IT Incident,Network Server,Yes
TX,Healthcare Provider,1987,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,141669,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,87420,Hacking/IT Incident,Network Server,Yes
NJ,Healthcare Provider,3657,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,81487,Hacking/IT Incident,Network Server,Yes
DC,Healthcare Provider,44308,Hacking/IT Incident,Network Server,No
NY,Healthcare Provider,175803,Hacking/IT Incident,Network Server,Yes
NH,Healthcare Provider,18623,Hacking/IT Incident,Network Server,Yes
NY,Healthcare Provider,87535,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,4271,Hacking/IT Incident,Email,No
GA,Healthcare Provider,2818,Hacking/IT Incident,Other,No
VA,Healthcare Provider,3061,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,43667,Hacking/IT Incident,Network Server,Yes
MA,Healthcare Provider,27244,Hacking/IT Incident,Network Server,Yes
VA,Healthcare Provider,54151,Hacking/IT Incident,Network Server,Yes
MD,Healthcare Provider,13041,Hacking/IT Incident,Network Server,Yes
CA,Healthcare Provider,695,Hacking/IT Incident,Email,No
SC,Healthcare Provider,54869,Hacking/IT Incident,Network Server,Yes
OH,Business Associate,58123,Hacking/IT Incident,Email,Yes
NY,Healthcare Provider,23000,Unauthorized Access/Disclosure,Electronic Medical Record,No
CA,Healthcare Provider,33575,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,343493,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,93642,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,3845,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,2650,Hacking/IT Incident,Email,No
TX,Healthcare Provider,4500,Hacking/IT Incident,Network Server,Yes
WA,Healthcare Provider,244761,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,92064,Hacking/IT Incident,Network Server,Yes
PA,Business Associate,3905,Hacking/IT Incident,Email,Yes
CT,Healthcare Provider,7777,Hacking/IT Incident,Email,No
OK,Healthcare Provider,1076,Improper Disposal,Paper/Films,No
WI,Healthcare Provider,2979,Unauthorized Access/Disclosure,Paper/Films,No
SC,Healthcare Provider,6000,Hacking/IT Incident,Email,No
FL,Healthcare Provider,4056,Theft,"Other Portable Electronic Device, Paper/Films",No
LA,Healthcare Provider,308169,Hacking/IT Incident,"Desktop Computer, Email, Network Server",No
MI,Healthcare Provider,52711,Hacking/IT Incident,Network Server,Yes
OH,Healthcare Provider,2869,Theft,"Other, Other Portable Electronic Device",No
UT,Healthcare Provider,112124,Hacking/IT Incident,Email,No
AZ,Healthcare Provider,244813,Hacking/IT Incident,Network Server,No
AK,Healthcare Provider,1538,Hacking/IT Incident,Network Server,No
SC,Healthcare Provider,3000,Hacking/IT Incident,Email,No
KY,Business Associate,1021,Hacking/IT Incident,Network Server,Yes
CO,Healthcare Provider,15000,Hacking/IT Incident,Network Server,No
OH,Healthcare Provider,740,Theft,Paper/Films,No
WA,Healthcare Provider,179189,Hacking/IT Incident,Network Server,Yes
PA,Healthcare Provider,16579,Hacking/IT Incident,Email,No
WA,Health Plan,648,Unauthorized Access/Disclosure,Email,No
KY,Health Plan,501,Hacking/IT Incident,Other,No
PA,Healthcare Provider,10393,Unauthorized Access/Disclosure,Email,No
NY,Healthcare Provider,1164,Hacking/IT Incident,"Email, Network Server",Yes
KY,Business Associate,139114,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,1768,Loss,Other Portable Electronic Device,No
PA,Healthcare Provider,177023,Hacking/IT Incident,Network Server,No
PA,Business Associate,8100,Hacking/IT Incident,Email,Yes
TX,Healthcare Provider,2102,Hacking/IT Incident,Email,No
WI,Healthcare Provider,1907,Unauthorized Access/Disclosure,Paper/Films,Yes
TX,Healthcare Provider,15958,Unauthorized Access/Disclosure,Other,No
ID,Healthcare Provider,543,Unauthorized Access/Disclosure,Email,No
IA,Healthcare Provider,914,Unauthorized Access/Disclosure,Paper/Films,No
AR,Healthcare Provider,772,Unauthorized Access/Disclosure,Electronic Medical Record,No
CT,Healthcare Provider,3736,Hacking/IT Incident,Email,No
MD,Healthcare Provider,102800,Hacking/IT Incident,Network Server,No
IN,Healthcare Provider,7264,Hacking/IT Incident,Network Server,No
ME,Business Associate,657392,Hacking/IT Incident,"Network Server, Other",Yes
CA,Healthcare Provider,738,Theft,Laptop,No
NY,Healthcare Provider,1789,Loss,Other,Yes
IL,Healthcare Provider,4120,Hacking/IT Incident,Email,No
PA,Healthcare Provider,7557,Unauthorized Access/Disclosure,Email,No
OH,Healthcare Provider,7447,Hacking/IT Incident,"Electronic Medical Record, Network Server",No
WV,Healthcare Provider,3127,Hacking/IT Incident,Email,No
NY,Healthcare Provider,4950,Hacking/IT Incident,Network Server,No
MI,Healthcare Provider,6073,Hacking/IT Incident,"Email, Network Server",No
CO,Healthcare Provider,2553,Hacking/IT Incident,Email,No
TX,Healthcare Provider,19908,Unauthorized Access/Disclosure,Network Server,No
MA,Healthcare Provider,129571,Hacking/IT Incident,Network Server,No
MD,Healthcare Provider,33896,Hacking/IT Incident,Email,No
IL,Healthcare Provider,72143,Theft,"Other Portable Electronic Device, Paper/Films",No
NY,Healthcare Provider,1974,Hacking/IT Incident,Email,No
TX,Healthcare Provider,1237,Unauthorized Access/Disclosure,Other,No
MN,Healthcare Provider,1500,Theft,"Other, Paper/Films",No
PA,Healthcare Provider,25554,Hacking/IT Incident,Network Server,No
UT,Healthcare Provider,10000,Hacking/IT Incident,Email,No
MA,Business Associate,78070,Hacking/IT Incident,Email,Yes
DE,Healthcare Provider,4139,Unauthorized Access/Disclosure,Paper/Films,No
MD,Healthcare Provider,47754,Hacking/IT Incident,Network Server,No
TX,Healthcare Provider,69777,Hacking/IT Incident,Network Server,No
WI,Business Associate,1441,Hacking/IT Incident,Email,Yes
FL,Health Plan,50439,Unauthorized Access/Disclosure,Paper/Films,No
NY,Healthcare Provider,1002,Hacking/IT Incident,Email,No
WI,Healthcare Provider,1853,Unauthorized Access/Disclosure,Other,No
CA,Healthcare Provider,1463,Theft,Paper/Films,No
CA,Healthcare Provider,900,Hacking/IT Incident,Network Server,No
FL,Business Associate,2251,Hacking/IT Incident,Other,Yes
TX,Business Associate,500,Theft,"Desktop Computer, Laptop, Other Portable Electronic Device",Yes
AK,Healthcare Provider,1158,Hacking/IT Incident,Electronic Medical Record,Yes
CA,Healthcare Provider,8394,Hacking/IT Incident,Network Server,No
NC,Business Associate,21800,Hacking/IT Incident,"Desktop Computer, Network Server",Yes
NM,Healthcare Provider,500,Hacking/IT Incident,Email,No
CA,Health Plan,35883,Hacking/IT Incident,Email,No
PA,Business Associate,2393,Unauthorized Access/Disclosure,Other,Yes
FL,Healthcare Provider,640000,Hacking/IT Incident,Network Server,No
NC,Healthcare Provider,7000,Hacking/IT Incident,Network Server,No
FL,Health Plan,2943,Unauthorized Access/Disclosure,Other,Yes
TN,Healthcare Provider,656,Hacking/IT Incident,Desktop Computer,No
CA,Healthcare Provider,786,Hacking/IT Incident,Email,No
GA,Healthcare Provider,6265,Hacking/IT Incident,"Desktop Computer, Network Server",No
