Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Type of Breach,Location of Breached Information,Business Associate Present
South Texas Veterans Health Care System,TX,Healthcare Provider,1430,"Improper Disposal, Loss",Paper/Films,No
Rockbridge Area Community Services,VA,Healthcare Provider,500,Theft,"Desktop Computer, Laptop",No
"Millennium Medical Management Resources, Inc.",IL,Business Associate,180111,Theft,"Other, Other Portable Electronic Device",Yes
Miami VA Healthcare System,FL,Healthcare Provider,568,Theft,Paper/Films,No
VA Eastern Colorado Health Care System,CO,Healthcare Provider,649,Theft,Paper/Films,No
"Heriberto Rodriguez-Ayala, M.D.",TX,Healthcare Provider,4200,Theft,Laptop,No
Georgetown University Hospital,DC,Healthcare Provider,2416,"Other, Theft","Email, Other Portable Electronic Device",No
Silicon Valley Eyecare Optometry and Contact Lenses,CA,Healthcare Provider,40000,Theft,Network Server,No
Heritage Health Solutions,TX,Business Associate,656,Theft,Laptop,Yes
Oconee Physician Practices,SC,Healthcare Provider,653,Theft,Laptop,No
University of Rochester Medical Center and Affiliates,NY,Healthcare Provider,2628,Other,Paper/Films,No
"Omaha Construction Industry , Privacy Manager Breach",NE,,800,Theft,Laptop,Yes
"City of Charlotte, NC (Health Plan)",NC,Health Plan,5220,Loss,Other,No
VA North Texas Health Care System,TX,Healthcare Provider,4083,Improper Disposal,Paper/Films,No
Rainbow Hospice and Palliative Care,IL,Healthcare Provider,1000,Theft,Laptop,No
Occupational Health Partners,KS,Healthcare Provider,1105,Theft,Laptop,No
"University of Louisville Research Foundation, Inc., DBA The Kidney Disease Program",KY,Healthcare Provider,708,Hacking/IT Incident,Network Server,No
Cincinnati Childrens Hospital Medical Center ,OH,Healthcare Provider,60998,Theft,Laptop,No
"AvMed, Inc.",FL,Health Plan,1220000,Theft,Laptop,No
"Nihal Saran, MD ",MI,Healthcare Provider,2300,Theft,Laptop,No
"Siemens Medical Solutions, USA, Inc",PA,Business Associate,130495,Theft,Other,Yes
UnitedHealth Group health plan single affiliated covered entity,MN,Health Plan,16291,Other,Paper/Films,No
St. Jude Children's Research Hospital,TN,Healthcare Provider,1745,Loss,Laptop,No
DentaQuest,MA,Business Associate,10515,Theft,Laptop,Yes
Comprehensive Care Management Corporation,NY,Health Plan,1020,Theft,"Desktop Computer, Email, Laptop, Network Server",No
The Children's Medical Center of Dayton,OH,Healthcare Provider,1001,Other,Email,No
University of Kentucky,KY,Healthcare Provider,2027,Theft,Laptop,No
alma aguado md pa,TX,Healthcare Provider,600,Theft,Network Server,No
"Augusta Data Storage, Inc",GA,Business Associate,14000,Loss,Other,Yes
University Health System,NV,Healthcare Provider,7526,Theft,Network Server,No
"Aramark Healthcare Support Services, LLC",PA,Business Associate,937,Other,Email,Yes
"Mary M. Desch,MD/PathHealer, LTD",AZ,Healthcare Provider,5893,Theft,Laptop,No
Children's Hospital & Research Center at Oakland,CA,Healthcare Provider,1000,Other,Paper/Films,No
Centerstone,TN,Healthcare Provider,1537,Theft,"Desktop Computer, Paper/Films",No
Care 1st Health Plan,CA,Business Associate,29000,"Loss, Other","Other, Other Portable Electronic Device",Yes
NYU Hospitals Center,NY,Healthcare Provider,2563,Theft,Other Portable Electronic Device,No
Long Island Consultation Center,NY,Healthcare Provider,800,Theft,"Other, Other Portable Electronic Device",No
SunBridge Healthcare Corporation,NM,Healthcare Provider,3830,Theft,Laptop,No
University of Florida,FL,Healthcare Provider,2047,Other,Paper/Films,No
Governor's Office of Information Technology,CO,Business Associate,105470,Theft,Desktop Computer,Yes
Prince William County Community Services (CS),VA,Healthcare Provider,669,Theft,Other Portable Electronic Device,No
UnitedHealthcare Insurance Company ,MN,Business Associate,1097,Other,Paper/Films,Yes
"Iron Mountain Data Products, Inc. (now known as ",PA,Business Associate,800000,Loss,"Electronic Medical Record, Other, Other Portable Electronic Device",Yes
Montefiore Medical Center,NY,Healthcare Provider,23753,Theft,Desktop Computer,No
"Medina OB/GYN Associates, Inc",OH,Business Associate,1200,Improper Disposal,Paper/Films,Yes
The University of Texas at Arlington,TX,Healthcare Provider,27000,Hacking/IT Incident,Network Server,No
"DC Chartered Health Plan, Inc",DC,Health Plan,540,Theft,Laptop,No
Montefiore Medical Center,NY,Healthcare Provider,16820,Theft,Desktop Computer,No
Aetna,CT,Health Plan,6372,,Paper/Films,No
Charles Mitchell MD,TX,Healthcare Provider,6873,Theft,Desktop Computer,No
Baylor College of Medicine,TX,Healthcare Provider,1646,Theft,Laptop,No
Mercer,,Business Associate,1073,Loss,Other,Yes
Matrix Imaging,NY,Business Associate,2631,Theft,Paper/Films,Yes
Carolina Center for Development and Rehabilitation,NC,Healthcare Provider,1590,Theft,Paper/Films,No
"WellPoint, Inc.",IN,Health Plan,31700,Hacking/IT Incident,Network Server,No
Texas Children's Hospital,TX,Healthcare Provider,694,Theft,Laptop,No
Wright State Physicians,OH,Healthcare Provider,1309,Other,Laptop,No
Penn Treaty Network America Insurance Company ,PA,Health Plan,560,Other,Other,No
Jewish Hospital,KY,Healthcare Provider,2089,Theft,Laptop,No
McKesson Pharmacy Systems LLC,GA,Business Associate,11440,Other,"Other, Other Portable Electronic Device",Yes
"Beauty Dental, Inc.",IL,Healthcare Provider,657,"Loss, Theft",Paper/Films,No
Fort Worth Allergy and Asthma Associates,TX,Healthcare Provider,25000,Theft,Network Server,No
Aultman Hospital,OH,Healthcare Provider,13867,Theft,Laptop,No
UNCG Speech and Hearing Center,NC,Healthcare Provider,2300,Hacking/IT Incident,Desktop Computer,No
St. John's Mercy Medical Group,MO,Healthcare Provider,1907,Improper Disposal,Paper/Films,No
"Thomas Jefferson University Hospitals, Inc.",PA,Healthcare Provider,21000,Theft,Laptop,No
Mercer Health & Benefits,ID,Business Associate,5500,Loss,Other,Yes
"Ward A. Morris, DDS",WA,Healthcare Provider,2698,Theft,Desktop Computer,No
Loma Linda University School of Dentistry,CA,Healthcare Provider,10100,Theft,Desktop Computer,No
"Chattanooga Family Practice Associates, P.C.",TN,Healthcare Provider,1711,Loss,"Other, Other Portable Electronic Device",No
Yale University,CT,Healthcare Provider,1000,Theft,Laptop,No
"Eastmoreland Surgical Clinic, William Graham, DO",OR,Healthcare Provider,4328,Theft,"Desktop Computer, Laptop, Other, Other Portable Electronic Device",No
Cook County Health & Hospitals System,IL,Healthcare Provider,7081,Theft,Laptop,No
Pioneer Valley Pathology,MA,Business Associate,24750,Theft,Paper/Films,Yes
SunBridge Healthcare Corporation,NM,Healthcare Provider,1000,Theft,"Other, Other Portable Electronic Device",No
KPMG LLP,NY,Business Associate,956,Theft,"Other, Other Portable Electronic Device",Yes
KPMG LLP,NY,Business Associate,3630,Theft,Other Portable Electronic Device,Yes
NYU School of Medicine--Aging and Dementia Clinical Research Center ,NY,Healthcare Provider,1200,Loss,"Other, Other Portable Electronic Device",No
Aon Consulting,PA,Business Associate,22642,Other,Network Server,Yes
University of Rochester Medical Center and Affiliates,NY,Healthcare Provider,857,Loss,Other Portable Electronic Device,No
Mayo Clinic,MN,Healthcare Provider,1740,Theft,Electronic Medical Record,No
"Curtis R. Bryan, M.D.",VA,Healthcare Provider,2739,Theft,Laptop,No
The Kent Center ,RI,Healthcare Provider,1361,Theft,Paper/Films,No
LabCorp Patient Service Center,NV,Healthcare Provider,507,Theft,Paper/Films,No
"Pediatric and Adult Allergy, PC",IA,Healthcare Provider,19222,Loss,Other Portable Electronic Device,No
Ault Chiropractic Center,IN,Healthcare Provider,2000,Theft,"Desktop Computer, Laptop",No
County of Los Angeles,CA,Healthcare Provider,33000,Theft,Paper/Films,No
"Matthew H. Conrad, M.D., P.A.",KS,Healthcare Provider,1200,Theft,"Laptop, Paper/Films",No
CareCore National,SC,Business Associate,1270,Other,Paper/Films,Yes
Counseling and Psychotherapy of Throggs Neck,NY,Healthcare Provider,9000,Theft,Desktop Computer,No
Alaskan AIDS Assistance Association,AK,Business Associate,2000,Theft,"Other, Other Portable Electronic Device",Yes
"St. Vincent Hospital and Health Care Center, Inc.",IN,Healthcare Provider,1199,Theft,Laptop,No
Oroville Hospital,CA,Business Associate,1474,Theft,"Other, Other Portable Electronic Device",Yes
Eden Medical Center,CA,Business Associate,1474,Theft,"Other, Other Portable Electronic Device",Yes
NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,Healthcare Provider,6800,Theft,Network Server,No
St. James Hospital and Health Centers,IL,Healthcare Provider,967,Improper Disposal,Paper/Films,No
"University of Oklahoma - Tulsa, Neurology Clinic",OK,Healthcare Provider,19200,Hacking/IT Incident,Desktop Computer,No
"LORENZO BROWN, MD INC.",CA,Healthcare Provider,928,Theft,Desktop Computer,No
Joseph A. Gagnon d/b/a Goldthwait Associates,MA,Business Associate,11000,Improper Disposal,Paper/Films,Yes
"Debra C. Duffy, DDS",TX,Healthcare Provider,4700,Theft,"Laptop, Network Server",No
"Cumberland Gastroenterology, P.S.C.",KY,Healthcare Provider,2200,Theft,Paper/Films,No
WESTMED Medical Group,NY,Healthcare Provider,578,Theft,Laptop,No
Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,Health Plan,692,Other,Other,No
LoneStar Audiology Group,TX,Healthcare Provider,585,Theft,Laptop,No
Utah Department of Workforce Services,UT,Business Associate,1298,Other,"Desktop Computer, Paper/Films",Yes
SW Seattle Orthopaedic and Sports Medicine,WA,Healthcare Provider,9493,Hacking/IT Incident,Network Server,No
University of Arkansas for Medical Sciences,AR,Healthcare Provider,1000,Theft,"Other, Other Portable Electronic Device",No
Aspen Dental Care P.C.,CO,Healthcare Provider,2500,Theft,Other,No
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1023209,Theft,Other,No
Northridge Hospital Medical Center,CA,Healthcare Provider,716,Loss,Paper/Films,No
Puerto Rico Department of Health - Triple S Management Corp.,,Health Plan,475000,Unauthorized Access/Disclosure,Network Server,Yes
"Aetna, Inc.",CT,Health Plan,2345,Unauthorized Access/Disclosure,Network Server,No
Sta-home Health & Hospice,MS,Healthcare Provider,1104,Theft,Desktop Computer,No
Medical Card System/MCS-HMO/MCS Advantage/MCS Life,PR,Business Associate,115000,Unauthorized Access/Disclosure,"Other, Other Portable Electronic Device",Yes
VNA of Southeastern Ct.,CT,Healthcare Provider,12000,Theft,Laptop,No
"Prime Home Care, LLC",NE,Healthcare Provider,1550,Theft,Desktop Computer,No
"Manor Care Indy (South), LLC.",IN,Healthcare Provider,845,Unauthorized Access/Disclosure,Paper/Films,No
Visiting Nurse Service Association of Schenectady County,NY,Healthcare Provider,535,Theft,Laptop,No
Henry Ford Hospital,MI,Healthcare Provider,3700,Theft,Laptop,No
"Robert Wheatley, DDS, PC",MO,Healthcare Provider,1400,Theft,Laptop,No
Holy Cross Hospital,FL,Healthcare Provider,1500,Theft,Paper/Films,No
"Triple-S Salud, Inc.",,Health Plan,398000,Theft,Network Server,No
"Professional Transcription Company, Inc.",NY,Business Associate,1744,Theft,Network Server,Yes
Memorial Hospital of Gardena,CA,Healthcare Provider,771,Unauthorized Access/Disclosure,Paper/Films,No
Oklahoma City VA Medical Center,OK,Healthcare Provider,1950,"Improper Disposal, Loss, Theft",Paper/Films,No
Kings County Hospital Center,NY,Healthcare Provider,542,Theft,Desktop Computer,No
Albert Einstein Healthcare Network,PA,Healthcare Provider,613,Theft,Desktop Computer,No
University of Tennessee Medical Center,TN,Healthcare Provider,8200,Improper Disposal,Paper/Films,No
H.E.L.P. Financial Corporation,MI,Business Associate,9475,Unauthorized Access/Disclosure,Paper/Films,Yes
zarzamora family dental care,TX,Healthcare Provider,800,Theft,Desktop Computer,No
"Gary C. Spinks, DMD, PC",MD,Healthcare Provider,1000,Hacking/IT Incident,"Desktop Computer, Network Server",No
Hospital Auxilio Mutuo,,Healthcare Provider,1000,Theft,"Desktop Computer, Laptop",No
"Gair Medical Transcription Services, Inc.",PA,Business Associate,1085,Unauthorized Access/Disclosure,Network Server,Yes
Cook County Health & Hospitals System,IL,Healthcare Provider,556,Theft,Desktop Computer,No
"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,Healthcare Provider,3288,Theft,Laptop,No
Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,Healthcare Provider,1000,Improper Disposal,Paper/Films,No
California Therapy Solutions,CA,Healthcare Provider,1250,Theft,"Other, Other Portable Electronic Device",No
The Southwestern Indiana Regional Council on Aging,IN,Business Associate,757,Theft,Laptop,Yes
Hils Transcription,IN,Business Associate,585,Unauthorized Access/Disclosure,Other,Yes
Geisinger Wyoming Valley Medical Center,PA,Healthcare Provider,2928,Theft,Email,No
Mankato Clinic,MN,Healthcare Provider,3159,Theft,Laptop,No
"Zenith Administrators, Inc.",MD,Business Associate,800,Theft,Paper/Films,Yes
Our Lady of Peace Hospital,KY,Healthcare Provider,24600,"Loss, Theft","Other, Other Portable Electronic Device",No
Keystone/AmeriHealth Mercy Health Plans,PA,Health Plan,808,Loss,"Other, Other Portable Electronic Device",No
"Southern Perioperative Services, P.C.",AL,Healthcare Provider,2000,Theft,"Other, Other Portable Electronic Device",No
"Ankle + Foot Center of Tampa Bay, Inc.",FL,Healthcare Provider,156000,Theft,Network Server,No
OhioHealth Corporation dba Grant Medical Center,OH,Healthcare Provider,501,Theft,"Desktop Computer, Laptop",No
"Seacoast Radiology, PA",NH,Healthcare Provider,231400,Hacking/IT Incident,Network Server,No
Friendship Center Dental Office,FL,Healthcare Provider,2200,Theft,Laptop,No
St.Vincent Hospital - Indianapolis,IN,Healthcare Provider,1848,Hacking/IT Incident,"Email, Network Server",No
Centra,VA,Healthcare Provider,11982,Theft,Laptop,No
Franciscan Medical Group,WA,Healthcare Clearing House,1250,Theft,Desktop Computer,No
State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,Health Plan,5596,Theft,Desktop Computer,No
Lake Woods Nursing & Rehabilitation Center,MI,Healthcare Provider,656,Theft,"Desktop Computer, Laptop",No
Travis Software Corp.,TX,Business Associate,16200,Loss,"Other, Other Portable Electronic Device",Yes
J. A. Still Corporation,MO,Business Associate,4800,Theft,Other,Yes
"Grays Harbor Pediatrics, PLLC",WA,Healthcare Provider,12009,Theft,"Other, Other Portable Electronic Device",No
"Hanger Prosthetics & Orthotics, Inc.",TX,Healthcare Provider,4486,Theft,Laptop,No
Baylor Heart and Vascular Center,TX,Healthcare Provider,8241,Theft,"Other, Other Portable Electronic Device",No
"CHC MEMPHIS CMHC, LLC",TN,Healthcare Provider,500,Theft,Desktop Computer,No
Integranetics,KY,Business Associate,18871,Hacking/IT Incident,Network Server,Yes
Jefferson Center for Mental Health,CO,Healthcare Provider,546,Theft,Paper/Films,No
"Ortho Montana, PSC",MT,Healthcare Provider,37000,Theft,Laptop,No
Cancer Care Northwest P.S.,WA,Healthcare Provider,3100,Theft,Paper/Films,No
Saint Louis University,MO,Healthcare Provider,800,Hacking/IT Incident,Desktop Computer,No
GRM Information Management Services,NJ,Business Associate,1700000,Theft,"Electronic Medical Record, Other",Yes
Long Beach Memorial Medical Center,CA,Healthcare Provider,2250,Unauthorized Access/Disclosure,Other,No
Texas Health Harris Methodist Hospital Azle,TX,Healthcare Provider,9922,"Loss, Theft","Other, Other Portable Electronic Device",No
Business Express,FL,Business Associate,2700,Theft,"Other, Other Portable Electronic Device",Yes
Xforia Web Services,WV,Business Associate,3655,Unauthorized Access/Disclosure,Network Server,Yes
Mountain Vista Medical Center,AZ,Healthcare Provider,2291,Loss,"Other, Other Portable Electronic Device",No
Departamento de Salud de Puerto Rico,,Healthcare Provider,2621,Loss,Desktop Computer,No
Henry Ford Hospital,MI,Healthcare Provider,2777,Loss,"Other, Other Portable Electronic Device",No
TriWest Healthcare Alliance Corp.,AZ,Business Associate,4500,Unauthorized Access/Disclosure,Paper/Films,Yes
Blue Cross and Blue Shield of Florida ,FL,Health Plan,7366,Unknown,Other,No
"University Health Services, University of Massachusetts, Amherst",MA,Healthcare Provider,942,Unauthorized Access/Disclosure,Desktop Computer,No
"Omnicare, Inc",KY,Healthcare Provider,8845,Theft,Laptop,No
"JEFFREY J. SMITH, MD",OK,Healthcare Provider,600,Theft,"Desktop Computer, Other, Other Portable Electronic Device",No
"Coventry Health Care, Inc.",MD,Business Associate,765,Unauthorized Access/Disclosure,Paper/Films,Yes
Texas Health Arlington Memorial Hospital,TX,Healthcare Provider,654,Unknown,Electronic Medical Record,No
"Rape & Brooks Orthodontics, P.C.",AL,Healthcare Provider,20744,Theft,"Desktop Computer, Network Server, Other, Other Portable Electronic Device",No
NYU School of Medicine Faculty Group Practice,NY,Healthcare Provider,670,Theft,Desktop Computer,No
EISENHOWER MEDICAL CENTER,CA,Healthcare Provider,514330,Theft,Desktop Computer,No
Clarksburg - Louis A. Johnson VA Medical Center,WV,Healthcare Provider,1470,Unauthorized Access/Disclosure,Paper/Films,No
County of Los Angeles,CA,Healthcare Provider,667,Theft,Laptop,No
Trisha Elaine Cordova,AK,Business Associate,1700,Theft,Laptop,Yes
"Park Avenue Obstetrics & Gynecology, PC",AZ,Healthcare Provider,635,Theft,"Other, Other Portable Electronic Device",No
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,Healthcare Provider,10000,Theft,"Other, Other Portable Electronic Device",No
Hartford Hospital,CT,Business Associate,93500,Theft,Other,Yes
"Patient Care Services at Saint Francis, Inc.",OK,Healthcare Provider,84000,Theft,Network Server,No
Union Security Insurance Company,MO,Health Plan,935,Unauthorized Access/Disclosure,Other,No
Oklaholma State Dept. of Health,OK,Healthcare Provider,132940,Theft,"Laptop, Paper/Films",No
Aiken Community Based Outpatient Clinic,SC,Healthcare Provider,2717,Improper Disposal,Paper/Films,No
Fairview Health Services,MN,Healthcare Provider,1215,Loss,Paper/Films,No
IBM,NY,Business Associate,1900000,Unknown,Other,Yes
SW General Inc,AZ,Healthcare Provider,566,Theft,Paper/Films,No
"Healthcare Solutions Team, LLC",IL,Business Associate,675,Unauthorized Access/Disclosure,Other,Yes
Community Action partnership of Natrona County,WY,Healthcare Provider,15000,Theft,Desktop Computer,No
"Keith & Fisher, DDS, PA",NC,Healthcare Provider,6000,Hacking/IT Incident,Network Server,No
Genesis Clinical Laboratory,IL,Healthcare Provider,1070,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
MacNeal Hospital,IL,Healthcare Provider,845,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
West Lake Hospital ,IL,Healthcare Provider,686,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Phoenix Health Plan,AZ,Health Plan,9393,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
MacNeal Physician Group,IL,Healthcare Provider,532,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No
Knox Community Hospital,OH,Healthcare Provider,500,Improper Disposal,Other,No
Speare Memorial Hospital,NH,Healthcare Provider,5960,Theft,Laptop,No
Methodist Charlton Medical Center,TX,Healthcare Provider,1500,Theft,Laptop,No
Reid Hospital & Health Care Services,IN,Healthcare Provider,22001,Theft,Laptop,No
Drs Edalji and Komer,MA,Healthcare Provider,563,Theft,Laptop,No
PMC Medicare Choice,PR,Health Plan,24361,Theft,Desktop Computer,No
Union Security Insurance Company,MO,Health Plan,850,Unauthorized Access/Disclosure,Other,No
Indiana Regional Medical Center,PA,Healthcare Provider,1388,Theft,Paper/Films,No
"MMM Healthcare, Inc.",,Healthcare Provider,32390,Theft,Desktop Computer,No
CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,Healthcare Provider,8000,Theft,"Other, Paper/Films",No
CVS CAREMARK,AZ,Healthcare Provider,654,"Theft, Unauthorized Access/Disclosure",Paper/Films,No
"Robert B. Miller, MD",CA,Healthcare Provider,620,Theft,Laptop,No
St. Mary's Hospital for Children,NY,Business Associate,550,Theft,Paper/Films,Yes
Imaging Center of Garland,TX,Healthcare Provider,1031,Improper Disposal,Other,No
"Cahaba Government Benefit Administrators, LLC",AL,Business Associate,13412,Unauthorized Access/Disclosure,Paper/Films,Yes
Agent Benefits Corporation,MI,Business Associate,11387,"Hacking/IT Incident, Unauthorized Access/Disclosure",Network Server,Yes
VA Caribbean Healthcare System,PR,Healthcare Provider,6006,Theft,Paper/Films,No
Spartanburg Regional Healthcare System,SC,Healthcare Provider,400000,Theft,Desktop Computer,No
Saint Joseph - Berea,KY,Healthcare Provider,1986,"Loss, Theft","Other, Other Portable Electronic Device",No
Navos,WA,Health Plan,2700,Unknown,Paper/Films,No
Lower Umpqua Hospital,OR,Business Associate,17000,Theft,"Other, Other Portable Electronic Device",Yes
"Metropolitan Community Health Services, Inc.",NC,Healthcare Provider,1263,Unknown,Email,No
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,Healthcare Provider,2000,"Improper Disposal, Loss",Paper/Films,No
"FOOTHILLS NEPHROLOGY, PC",SC,Healthcare Provider,1280,Theft,"Other, Other Portable Electronic Device",No
Fidelity National Technology Imaging (FNTI),CA,Business Associate,1192,Loss,Paper/Films,Yes
HealthCare Partners,CA,Healthcare Provider,15677,Theft,Desktop Computer,No
New River Health Association,WV,Healthcare Provider,950,Unauthorized Access/Disclosure,Paper/Films,No
"Gene S. J. Liaw, MD. PS",WA,Healthcare Provider,1105,Theft,"Other, Other Portable Electronic Device",No
Blue Cross and Blue Shield of Florida ,FL,Health Plan,3463,Unauthorized Access/Disclosure,Other,No
"Advanced Diagnostic Imaging, P.C.",TN,Healthcare Provider,705,Theft,Laptop,No
