Name_of_Covered_Entity,State,Business_Associate_Involved,Individuals_Affected,Type_of_Breach,Location_of_Breached_Information
John Deere Health Benefit Plan for Wage Employees,IL,UnitedHealthcare Insurance Company ,1097,Other,Paper
South Shore Hospital,MA,"Iron Mountain Data Products, Inc. (now known as ",800000,Loss,"Other Portable Electronic Device, Other, Electronic Medical Record"
Montefiore Medical Center,NY,,16820,Theft,Desktop Computer
"DC Chartered Health Plan, Inc",DC,,540,Theft,Laptop
Montefiore Medical Center,NY,,23753,Theft,Desktop Computer
Medina County OB/GYN,OH,,1200,Improper Disposal,Paper
The University of Texas at Arlington,TX,,27000,Hacking/IT Incident,Network Server
Aetna,CT,,6372,Improper Disposal,Paper
Charles Mitchell MD,TX,,6873,Theft,Desktop Computer
Humana Inc [case 4486],KY,Matrix Imaging,2631,Other,Paper
"WellPoint, Inc.",IN,,31700,Hacking/IT Incident,Network Server
Carolina Center for Development and Rehabilitation,NC,,1590,Theft,Paper
Trinity Health Corporation Welfare Benefit Plan,MI,Mercer,1073,Loss,Other
Texas Children's Hospital,TX,,694,Theft,Laptop
Baylor College of Medicine,TX,,1646,Theft,Laptop
Wright State Physicians,OH,,1309,Other,Laptop
Penn Treaty Network America Insurance Company ,PA,,560,Other,Other
Aultman Hospital,OH,,13867,Theft,Laptop
Fort Worth Allergy and Asthma Associates,TX,,25000,Theft,Network Server
"Beauty Dental, Inc.",IL,,657,"Theft, Loss",Paper
Walsh Pharmacy,MA,McKesson Pharmacy Systems LLC,11440,Other,"Other Portable Electronic Device, Other"
Jewish Hospital,KY,,2089,Theft,Laptop
St. John's Mercy Medical Group,MO,,1907,Improper Disposal,Paper
"Thomas Jefferson University Hospitals, Inc.",PA,,21000,Theft,Laptop
UNCG Speech and Hearing Center,NC,,2300,Hacking/IT Incident,Desktop Computer
Idaho Power Group Health Plan,ID,Mercer Health & Benefits,5500,Loss,Other
Loma Linda University School of Dentistry,CA,,10100,Theft,Desktop Computer
"Ward A. Morris, DDS",WA,,2698,Theft,Desktop Computer
"Chattanooga Family Practice Associates, P.C.",TN,,1711,Loss,"Other Portable Electronic Device, Other"
Yale University,CT,,1000,Theft,Laptop
University of Kentucky,KY,,2027,Theft,Laptop
Cook County Health & Hospitals System,IL,,7081,Theft,Laptop
"Eastmoreland Surgical Clinic, William Graham, DO",OR,,4328,Theft,"Laptop, Desktop Computer, Other Portable Electronic Device, Other"
SunBridge Healthcare Corporation,NM,,1000,Theft,"Other Portable Electronic Device, Other"
Holyoke Medical Center,MA,Pioneer Valley Pathology,24750,Improper Disposal,Paper
Newark Beth Israel Medical Center,NJ,KPMG LLP,956,Theft,"Other Portable Electronic Device, Other"
Saint Barnabas Medical Center,NJ,KPMG LLP,3630,Theft,Other Portable Electronic Device
NYU School of Medicine--Aging and Dementia Clinical Research Center ,NY,,1200,Loss,"Other Portable Electronic Device, Other"
University of Rochester Medical Center and Affiliates,NY,,857,Loss,Other Portable Electronic Device
State of Delaware Health Plan,DE,Aon Consulting,22642,Other,Network Server
"Curtis R. Bryan, M.D.",VA,,2739,Theft,Laptop
Mayo Clinic,MN,,1740,Unauthorized Access/Disclosure,Electronic Medical Record
LabCorp Patient Service Center,NV,,507,Theft,Paper
The Kent Center ,RI,,1361,Theft,Paper
"Pediatric and Adult Allergy, PC",IA,,19222,Loss,Other Portable Electronic Device
Ault Chiropractic Center,IN,,2000,Theft,"Laptop, Desktop Computer"
County of Los Angeles,CA,,33000,Theft,Paper
"Matthew H. Conrad, M.D., P.A.",KS,,1200,Theft,"Laptop, Paper"
UnitedHealth Group health plan single affiliated covered entity,MN,CareCore National,1270,Other,Paper
Counseling and Psychotherapy of Throggs Neck,NY,,9000,Theft,Desktop Computer
United States Air Force,OH,,2123,Improper Disposal,Paper
"State of Alaska, Department of Health and Social Services",AK,Alaskan AIDS Assistance Association,2000,Theft,"Other Portable Electronic Device, Other"
"St. Vincent Hospital and Health Care Center, Inc.",IN,,1199,Theft,Laptop
Milford Regional Medical Center,MA,,20000,Improper Disposal,Paper
"Alliance HealthCare Services, Inc.",CA,Oroville Hospital,1474,Theft,"Other Portable Electronic Device, Other"
"Alliance HealthCare Services, Inc.",CA,Eden Medical Center,1474,Theft,"Other Portable Electronic Device, Other"
NewYork-Presbyterian Hospital and Columbia University Medical Center,NY,,6800,Theft,Network Server
St. James Hospital and Health Centers,IL,,967,Improper Disposal,Paper
"University of Oklahoma - Tulsa, Neurology Clinic",OK,,19200,Hacking/IT Incident,Desktop Computer
"LORENZO BROWN, MD INC.",CA,,928,Theft,Desktop Computer
"Milton Pathology Associates, P.C.",MA,Joseph A. Gagnon d/b/a Goldthwait Associates,11000,Improper Disposal,Paper
WESTMED Medical Group,NY,,578,Theft,Laptop
"Debra C. Duffy, DDS",TX,,4700,Theft,"Laptop, Network Server"
"Cumberland Gastroenterology, P.S.C.",KY,,2200,Theft,Paper
Johns Hopkins University Applied Physics Laboratory (JHU/APL) Medical and Dental Insurance Plan,MD,,692,Other,Other
LoneStar Audiology Group,TX,,585,Theft,Laptop
Utah Department of Health,UT,Utah Department of Workforce Services,1298,Other,"Desktop Computer, Paper"
SW Seattle Orthopaedic and Sports Medicine,WA,,9493,Hacking/IT Incident,Network Server
University of Arkansas for Medical Sciences,AR,,1000,Theft,"Other Portable Electronic Device, Other"
"BlueCross BlueShield of Tennessee, Inc.",TN,,1023209,Theft,Other
Northridge Hospital Medical Center,CA,,716,Loss,Paper
Puerto Rico Department of Health,PR,"Triple-S Management, Corp.; Triple-S Salud, Inc.; ",475000,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
"Aetna, Inc.",CT,,2345,Unauthorized Access/Disclosure,Network Server
Sta-home Health & Hospice,MS,,1104,Theft,Desktop Computer
Puerto Rico Department of Health,PR,Medical Card System/MCS-HMO/MCS Advantage/MCS Life,115000,Unauthorized Access/Disclosure,"Other Portable Electronic Device, Other"
VNA of Southeastern Ct.,CT,,12000,Theft,Laptop
"Prime Home Care, LLC",NE,,1550,Theft,Desktop Computer
Visiting Nurse Service Association of Schenectady County,NY,,535,Theft,Laptop
"Manor Care Indy (South), LLC.",IN,,845,Unauthorized Access/Disclosure,Paper
"Robert Wheatley, DDS, PC",MO,,1400,Theft,Laptop
Henry Ford Hospital,MI,,3700,Theft,Laptop
Holy Cross Hospital,FL,,1500,Theft,Paper
Newark Beth Israel Medical Center,NJ,"Professional Transcription Company, Inc.",1744,Theft,Network Server
Memorial Hospital of Gardena,CA,,771,Unauthorized Access/Disclosure,Paper
Oklahoma City VA Medical Center,OK,,1950,"Theft, Loss, Improper Disposal",Paper
Albert Einstein Healthcare Network,PA,,613,Theft,Desktop Computer
Kings County Hospital Center,NY,,542,Theft,Desktop Computer
University of Tennessee Medical Center,TN,,8200,Improper Disposal,Paper
Ochsner Health System,LA,H.E.L.P. Financial Corporation,9475,Unauthorized Access/Disclosure,Paper
zarzamora family dental care,TX,,800,Theft,Desktop Computer
Hospital Auxilio Mutuo,PR,,1000,"Theft, Unauthorized Access/Disclosure, Hacking/IT Incident","Laptop, Desktop Computer"
Pinnacle Health System,PA,"Gair Medical Transcription Services, Inc.",1085,Unauthorized Access/Disclosure,Network Server
"Gary C. Spinks, DMD, PC",MD,,1000,Hacking/IT Incident,"Desktop Computer, Network Server"
Cook County Health & Hospitals System,IL,,556,Theft,Desktop Computer
"Dean Health Systems, Inc.; St. Mary's Hospital; St. Marys Dean Ventures, Incorporated",WI,,3288,Theft,Laptop
Riverside Mercy Hospital and Ohio/Mercy Diagnostics,OH,,1000,Improper Disposal,Paper
California Therapy Solutions,CA,,1250,Theft,"Other Portable Electronic Device, Other"
Osceola Medical Center,WI,Hils Transcription,585,Unauthorized Access/Disclosure,Other
Indiana Family and Social Services Administration,IN,The Southwestern Indiana Regional Council on Aging,757,Theft,Laptop
Mankato Clinic,MN,,3159,Theft,Laptop
Geisinger Wyoming Valley Medical Center,PA,,2928,Unauthorized Access/Disclosure,E-mail
Our Lady of Peace Hospital,KY,,24600,"Theft, Loss","Other Portable Electronic Device, Other"
International Union of Operating Engineers Health and Welfare Fund ,MD,"Zenith Administrators, Inc.",800,Theft,Paper
"Southern Perioperative Services, P.C.",AL,,2000,Theft,"Other Portable Electronic Device, Other"
Keystone/AmeriHealth Mercy Health Plans,PA,,808,Loss,"Other Portable Electronic Device, Other"
"Ankle + Foot Center of Tampa Bay, Inc.",FL,,156000,Theft,Network Server
OhioHealth Corporation dba Grant Medical Center,OH,,501,Theft,"Laptop, Desktop Computer"
"Seacoast Radiology, PA",NH,,231400,Hacking/IT Incident,Network Server
Friendship Center Dental Office,FL,,2200,Theft,Laptop
Centra,VA,,11982,Theft,Laptop
St.Vincent Hospital - Indianapolis,IN,,1848,Hacking/IT Incident,"Network Server, E-mail"
Texas Health Harris Methodist Hospital Azle,TX,,9922,"Theft, Loss","Other Portable Electronic Device, Other"
Franciscan Medical Group,WA,,1250,Theft,Desktop Computer
State of South Carolina Budget and Control Board Employee Insurance Program (EIP),SC,,5596,Hacking/IT Incident,Desktop Computer
Lake Woods Nursing & Rehabilitation Center,MI,,656,Theft,"Laptop, Desktop Computer"
"Benefit Resources, Inc.",SC,Travis Software Corp.,16200,Loss,"Other Portable Electronic Device, Other"
Baptist Memorial Hospital - Huntingdon,TN,J. A. Still Corporation,4800,Theft,Other
"Grays Harbor Pediatrics, PLLC",WA,,12009,Theft,"Other Portable Electronic Device, Other"
"Hanger Prosthetics & Orthotics, Inc.",TX,,4486,Theft,Laptop
Baylor Heart and Vascular Center,TX,,8241,Theft,"Other Portable Electronic Device, Other"
"CHC MEMPHIS CMHC, LLC",TN,,500,Theft,Desktop Computer
Jefferson Center for Mental Health,CO,,546,Theft,Paper
Green River District Health Department,KY,Integranetics,18871,Hacking/IT Incident,Network Server
"Ortho Montana, PSC",MT,,37000,"Theft, Loss",Laptop
Cancer Care Northwest P.S.,WA,,3100,Theft,Paper
Saint Louis University,MO,,800,Hacking/IT Incident,Desktop Computer
New York City Health & Hospitals Corporation's North Bronx Healthcare Network,NY,GRM Information Management Services,1700000,Theft,"Other, Electronic Medical Record"
Long Beach Memorial Medical Center,CA,,2250,Unauthorized Access/Disclosure,Other
Walgreen Co.,IL,Business Express,2700,Theft,"Other Portable Electronic Device, Other"
"Charleston Area Medical Center, Inc",WV,Xforia Web Services,3655,Unauthorized Access/Disclosure,Network Server
Mountain Vista Medical Center,AZ,,2291,Loss,"Other Portable Electronic Device, Other"
Departamento de Salud de Puerto Rico,PR,,2621,Unknown,Desktop Computer
Henry Ford Hospital,MI,,2777,Loss,"Other Portable Electronic Device, Other"
"Central Brooklyn Medical Group, PC",NY,,500,Theft,Paper
TRICARE Management Activity,CO,,4500,Unauthorized Access/Disclosure,Paper
Blue Cross and Blue Shield of Florida ,FL,,7366,Unknown,Other
"University Health Services, University of Massachusetts, Amherst",MA,,942,Unauthorized Access/Disclosure,Desktop Computer
"Omnicare, Inc",KY,,8845,Theft,Laptop
"JEFFREY J. SMITH, MD",OK,,600,Loss,"Desktop Computer, Other Portable Electronic Device, Other"
University of Missouri Health Plan,MO,"Coventry Health Care, Inc.",765,Unauthorized Access/Disclosure,Paper
Texas Health Arlington Memorial Hospital,TX,,654,Unknown,Electronic Medical Record
NYU School of Medicine Faculty Group Practice,NY,,670,Theft,Desktop Computer
"Rape & Brooks Orthodontics, P.C.",AL,,20744,Theft,"Desktop Computer, Network Server, Other Portable Electronic Device, Other"
Clarksburg - Louis A. Johnson VA Medical Center,WV,,1470,Unauthorized Access/Disclosure,Paper
County of Los Angeles,CA,,667,Theft,Laptop
EISENHOWER MEDICAL CENTER,CA,,514330,Theft,Desktop Computer
Catholic Social Services,AK,Trisha Elaine Cordova,1700,Theft,Laptop
"Park Avenue Obstetrics & Gynecology, PC",AZ,,635,Theft,"Other Portable Electronic Device, Other"
"Brian J Daniels D.D.S.,Paul R Daniels D.D.S.",AZ,,10000,Theft,"Other Portable Electronic Device, Other"
MidState Medical Center,CT,Hartford Hospital,93500,Loss,Other
"Patient Care Services at Saint Francis, Inc.",OK,,84000,Theft,Network Server
Union Security Insurance Company,MO,,935,Unauthorized Access/Disclosure,Other
Oklaholma State Dept. of Health,OK,,132940,Theft,"Laptop, Paper"
Aiken Community Based Outpatient Clinic,SC,,2717,Improper Disposal,Paper
"Health Net, Inc.",CA,IBM,1900000,Unknown,Other
SW General Inc,AZ,,566,Theft,Paper
Fairview Health Services,MN,,1215,Loss,Paper
Time Insurance Company,WI,"Healthcare Solutions Team, LLC",675,Unauthorized Access/Disclosure,Other
Community Action partnership of Natrona County,WY,,15000,Hacking/IT Incident,Desktop Computer
"Keith & Fisher, DDS, PA",NC,,6000,Hacking/IT Incident,Network Server
MacNeal Hospital,IL,,845,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail"
West Lake Hospital ,IL,,686,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail"
Phoenix Health Plan,AZ,,9393,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail"
MacNeal Physician Group,IL,,532,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail"
Genesis Clinical Laboratory,IL,,1070,Hacking/IT Incident,"Laptop, Desktop Computer, Network Server, E-mail"
Knox Community Hospital,OH,,500,Improper Disposal,Other
Speare Memorial Hospital,NH,,5960,Theft,Laptop
Methodist Charlton Medical Center,TX,,1500,Theft,Laptop
Drs Edalji and Komer,MA,,563,Theft,Laptop
Reid Hospital & Health Care Services,IN,,22001,Theft,Laptop
Union Security Insurance Company,MO,,850,Unauthorized Access/Disclosure,Other
Indiana Regional Medical Center,PA,,1388,Theft,Paper
"MMM Healthcare, Inc.",PR,,32390,Theft,Desktop Computer
PMC Medicare Choice,PR,,24361,Theft,Desktop Computer
CVS CAREMARK,AZ,,654,"Theft, Unauthorized Access/Disclosure",Paper
CENTER FOR ARTHRITIS & RHEUMATIC DISEASES,FL,,8000,Theft,"Other, Paper"
"Robert B. Miller, MD",CA,,620,Theft,Laptop
Imaging Center of Garland,TX,,1031,Improper Disposal,Other
New York State Department of Health,NY,St. Mary's Hospital for Children,550,Theft,Paper
St. Mary's Hospital for Children,NY,,550,Theft,Paper
Medicare Fee-for-Service Program,MD,"Cahaba Government Benefit Administrators, LLC",13412,Unauthorized Access/Disclosure,Paper
VA Caribbean Healthcare System,PR,,6006,Theft,Paper
Blue Cross Blue Shield of Michigan,MI,Agent Benefits Corporation,11387,"Unauthorized Access/Disclosure, Hacking/IT Incident",Network Server
Spartanburg Regional Healthcare System,SC,,400000,Theft,Desktop Computer
Saint Joseph - Berea,KY,,1986,"Theft, Loss","Other Portable Electronic Device, Other"
Navos,WA,,2700,Unknown,Paper
"Dunes Family Health Care, P.C",OR,Lower Umpqua Hospital,17000,Theft,"Other Portable Electronic Device, Other"
"Metropolitan Community Health Services, Inc.",NC,,1263,Unknown,E-mail
TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,,2000,"Loss, Improper Disposal",Paper
"FOOTHILLS NEPHROLOGY, PC",SC,,1280,Theft,"Other Portable Electronic Device, Other"
Sutter Gould Medical Foundation (SGMF),CA,Fidelity National Technology Imaging (FNTI),1192,Loss,Paper
Silverpop Systems Inc. Health and Welfare Plan,GA,,884,Theft,Laptop
New River Health Association,WV,,950,Unauthorized Access/Disclosure,Paper
HealthCare Partners,CA,,15677,Theft,Desktop Computer
"Gene S. J. Liaw, MD. PS",WA,,1105,Loss,"Other Portable Electronic Device, Other"
Blue Cross and Blue Shield of Florida ,FL,,3463,Unauthorized Access/Disclosure,Other
"NOL, LLC d/b/a Premier Radiology",TN,,810,Theft,Laptop
"Advanced Diagnostic Imaging, P.C.",TN,,705,Theft,Laptop
University of Missouri Health Care,MO,,1288,Unknown,Paper
Accendo,AZ,,175350,Unauthorized Access/Disclosure,Paper
Ohio Health Plans,OH,"Area Agency on Aging, Ohio District 5",78042,Theft,Laptop
"Gail Gillespie and Associates, LLC",LA,,2000,Theft,"Laptop, Desktop Computer, Network Server, E-mail, Other Portable Electronic Device, Other, Electronic Medical Record"
Health Plan of San Mateo,CA,,694,Unauthorized Access/Disclosure,Paper
Department of Health Care Policy and Financing,CO,Department of Personnel and Administration,3589,Loss,Other
Yanez Dental Corporation,CA,,10190,Theft,"Desktop Computer, Network Server"
Jackson Health System,FL,,1562,Unauthorized Access/Disclosure,"Other, Electronic Medical Record"
The Mount Sinai Hospital,NY,,712,Theft,Laptop
Troy Regional Medical Center,AL,,880,Unauthorized Access/Disclosure,Paper
Lansing Community College,MI,AssureCare Risk Management,5000,Hacking/IT Incident,Network Server
Dr Axel Velez,PR,,2800,Theft,Desktop Computer
" DeKalb Medical Center, Inc. d/b/a DeKalb Medical Hillandale",GA,,7500,Theft,Paper
Beth Israel Deaconess Medical Center,MA,,2021,Hacking/IT Incident,Network Server
"Gypsum Management and Supply, Inc. Medical and Dental Plan",GA,"Assurecare Risk Management, Inc.",25330,Unauthorized Access/Disclosure,Network Server
"Andersen Air Force Base, Guam",VA,,700,Improper Disposal,Paper
Molina Medicare,CA,"RxAmerica, a subsidiary of CVS Caremark",4573,Unauthorized Access/Disclosure,Paper
Windsor Health Plan,TN,RxAmerica LLC,1378,Unauthorized Access/Disclosure,Paper
Health Care Service Corporation,IL,,501,Theft,Paper
University of Kentucky - UK HealthCare,KY,,3604,Theft,Laptop
"Austin Center for Therapy and Assessment, LLC",TX,,1870,Theft,Laptop
Treatment Services Northwest,OR,,1200,Theft,Desktop Computer
Mills-Peninsula Health Services,CA,,1500,Unauthorized Access/Disclosure,Paper
Brigham and Women's Hospital and Faulkner Hospital ,MA,,638,Theft,Other Portable Electronic Device
"Ashley Industrial Molding, Inc. Employee Welfare Benefit Plan ",IN,"AssureCare Risk Management, Inc.",506,Hacking/IT Incident,Network Server
Monmouth Medical Center,NJ,MedAssets,6443,Theft,"Other Portable Electronic Device, Other"
Clara Maass Medical Center,NJ,Med Assets,8795,Theft,"Other Portable Electronic Device, Other"
Newark Beth Israel Medical Center,NJ,MedAssets,15015,Theft,"Other Portable Electronic Device, Other"
Saint Barnabas Medical Center,NJ,MedAssets,6179,Theft,"Other Portable Electronic Device, Other"
Washington State Department of Social and Health Services,WA,,3950,Unauthorized Access/Disclosure,Paper
St. Francis Hospital,DE,,948,Loss,"Other Portable Electronic Device, Other"
"Reznick Group, P.C.",MD,Assure Care Risk Management,2459,Hacking/IT Incident,Network Server
The Neurological Institute of Savannah & Center for Spine,GA,,63425,Theft,"Other Portable Electronic Device, Other"
Kimball Medical Center,NJ,MedAssets,6785,Theft,"Other Portable Electronic Device, Other"
Community Medical Center,NJ,MedAssets,6950,Theft,"Other Portable Electronic Device, Other"
American Health Medicare ,PR,Accuprint ,5848,Theft,Other
Texas Health Presbtyerian Hospital Flower Mound,TX,Texas Health Partners,10345,Theft,Laptop
Capron Rescue Squad District,IL,,815,Unauthorized Access/Disclosure,Laptop
Cook County Health & Hospitals System,IL,MedAssets,32008,Theft,"Other Portable Electronic Device, Other"
Lexington VAMC,KY,,1432,Theft,"Laptop, Other Portable Electronic Device, Paper"
